timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719902189804,1431,HTTP Request,200,OK,CollegeStudents 1-1,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,366,0,0
1719902189804,366,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-1,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,366,0,0
1719902190171,1064,HTTP Request-1,200,OK,CollegeStudents 1-1,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1032,0,0
1719902189861,1784,HTTP Request,200,OK,CollegeStudents 1-10,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,308,0,22
1719902189861,308,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-10,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,308,0,22
1719902190170,1475,HTTP Request-1,200,OK,CollegeStudents 1-10,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1447,0,65
1719902189661,2112,HTTP Request,200,OK,CollegeStudents 1-8,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,512,0,13
1719902189661,512,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-8,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,512,0,13
1719902190174,1599,HTTP Request-1,200,OK,CollegeStudents 1-8,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1579,0,61
1719902189944,1870,HTTP Request,200,OK,CollegeStudents 1-2,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,228,0,0
1719902189944,229,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-2,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,228,0,0
1719902190173,1641,HTTP Request-1,200,OK,CollegeStudents 1-2,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1612,0,0
1719902189563,2495,HTTP Request,200,OK,CollegeStudents 1-7,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,607,0,15
1719902189563,607,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-7,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,607,0,15
1719902190171,1887,HTTP Request-1,200,OK,CollegeStudents 1-7,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1845,0,64
1719902189761,2860,HTTP Request,200,OK,CollegeStudents 1-9,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,411,0,12
1719902189761,411,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-9,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,411,0,12
1719902190173,2448,HTTP Request-1,200,OK,CollegeStudents 1-9,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,2404,0,63
1719902190212,2474,HTTP Request,200,OK,CollegeStudents 1-3,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,973,0,0
1719902190212,973,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-3,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,973,0,0
1719902191185,1501,HTTP Request-1,200,OK,CollegeStudents 1-3,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1461,0,0
1719902190593,2330,HTTP Request,200,OK,CollegeStudents 1-4,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1016,0,0
1719902190593,1016,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-4,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,1016,0,0
1719902191610,1313,HTTP Request-1,200,OK,CollegeStudents 1-4,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1287,0,0
1719902190722,2284,HTTP Request,200,OK,CollegeStudents 1-5,text,true,,105309,298,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,887,0,0
1719902190722,887,HTTP Request-0,301,Moved Permanently,CollegeStudents 1-5,text,true,,738,149,10,10,http://www.shivajicollege.ac.in/aboutus/the_college.php,887,0,0
1719902191610,1396,HTTP Request-1,200,OK,CollegeStudents 1-5,text,true,,104571,149,10,10,https://www.shivajicollege.ac.in/aboutus/the_college.php,1376,0,0
